overspeed,accel,decel,stop,start,dsi,score
265.0,228.0,228.0,0.0,114.0,835.0,90.0
280.0,187.0,107.0,0.0,27.0,601.0,93.0
402.0,172.0,287.0,29.0,144.0,1034.0,87.0
263.0,186.0,159.0,0.0,0.0,608.0,93.0
50.0,1352.0,721.0,0.0,180.0,2303.0,72.0
308.0,341.0,284.0,0.0,57.0,990.0,88.0
316.0,213.0,160.0,0.0,27.0,716.0,91.0
921.0,151.0,101.0,0.0,50.0,1223.0,85.0
688.0,231.0,116.0,26.0,141.0,1202.0,85.0
1021.0,218.0,148.0,9.0,35.0,1431.0,83.0
253.0,628.0,359.0,0.0,45.0,1285.0,84.0
1266.0,145.0,145.0,12.0,60.0,1628.0,80.0
270.0,161.0,108.0,0.0,54.0,593.0,93.0
449.0,259.0,201.0,0.0,0.0,909.0,89.0
425.0,187.0,160.0,27.0,27.0,826.0,90.0
390.0,170.0,283.0,0.0,85.0,928.0,89.0
227.0,158.0,396.0,26.0,53.0,860.0,90.0
477.0,140.0,140.0,28.0,112.0,897.0,89.0
197.0,55.0,55.0,28.0,110.0,445.0,95.0
177.0,115.0,86.0,0.0,29.0,407.0,95.0
74.0,677.0,156.0,0.0,52.0,959.0,88.0
145.0,662.0,60.0,0.0,241.0,1108.0,87.0
224.0,86.0,201.0,29.0,115.0,655.0,92.0
264.0,269.0,108.0,0.0,27.0,668.0,92.0
122.0,725.0,242.0,0.0,60.0,1149.0,86.0
94.0,553.0,632.0,79.0,474.0,1832.0,78.0
314.0,440.0,247.0,0.0,110.0,1111.0,86.0
279.0,213.0,133.0,0.0,27.0,652.0,92.0
380.0,173.0,115.0,0.0,87.0,755.0,91.0
275.0,227.0,312.0,0.0,114.0,928.0,89.0
211.0,215.0,188.0,0.0,27.0,641.0,92.0
455.0,268.0,161.0,0.0,54.0,938.0,89.0
11.0,1210.0,242.0,81.0,484.0,2028.0,75.0
345.0,285.0,285.0,0.0,29.0,944.0,89.0
200.0,236.0,197.0,0.0,118.0,751.0,91.0
407.0,171.0,228.0,0.0,57.0,863.0,90.0
414.0,160.0,267.0,0.0,107.0,948.0,88.0
364.0,170.0,255.0,0.0,28.0,817.0,90.0
258.0,188.0,215.0,27.0,54.0,742.0,91.0
380.0,228.0,199.0,0.0,85.0,892.0,89.0
271.0,29.0,0.0,0.0,58.0,358.0,96.0
451.0,258.0,172.0,0.0,57.0,938.0,89.0
151.0,107.0,27.0,0.0,27.0,312.0,96.0
241.0,399.0,313.0,0.0,114.0,1067.0,87.0
463.0,202.0,278.0,0.0,25.0,968.0,88.0
405.0,258.0,344.0,57.0,86.0,1150.0,86.0
228.0,1798.0,1144.0,109.0,817.0,4096.0,50.0
26.0,2929.0,837.0,167.0,753.0,4712.0,43.0
26.0,1974.0,576.0,329.0,905.0,3810.0,54.0
507.0,313.0,197.0,12.0,46.0,1075.0,87.0
304.0,417.0,158.0,23.0,11.0,913.0,89.0
315.0,1614.0,740.0,67.0,269.0,3005.0,63.0
342.0,970.0,243.0,0.0,291.0,1846.0,78.0
61.0,1538.0,577.0,0.0,673.0,2849.0,65.0
567.0,1118.0,692.0,0.0,373.0,2750.0,67.0
947.0,1103.0,998.0,53.0,263.0,3364.0,59.0
47.0,2414.0,999.0,167.0,1082.0,4709.0,43.0
42.0,2398.0,1075.0,83.0,992.0,4590.0,44.0
34.0,2658.0,581.0,83.0,665.0,4021.0,51.0
83.0,2016.0,1071.0,0.0,567.0,3737.0,55.0
26.0,3021.0,735.0,82.0,898.0,4762.0,42.0
45.0,2501.0,1000.0,0.0,917.0,4463.0,46.0
80.0,2157.0,1411.0,83.0,996.0,4727.0,43.0
35.0,3100.0,922.0,168.0,838.0,5063.0,38.0
40.0,3419.0,1367.0,228.0,1291.0,6345.0,23.0
975.0,278.0,110.0,5.0,34.0,1402.0,83.0
110.0,803.0,301.0,0.0,50.0,1264.0,85.0
218.0,187.0,65.0,19.0,28.0,517.0,94.0
127.0,125.0,108.0,8.0,8.0,376.0,95.0
36.0,2585.0,783.0,0.0,1018.0,4422.0,46.0
147.0,1568.0,406.0,58.0,581.0,2760.0,66.0
130.0,2806.0,439.0,0.0,702.0,4077.0,50.0
30.0,2325.0,664.0,0.0,747.0,3766.0,54.0
48.0,3260.0,669.0,84.0,669.0,4730.0,43.0
48.0,1920.0,1002.0,83.0,751.0,3804.0,54.0
150.0,2619.0,673.0,75.0,898.0,4415.0,46.0
10.0,2836.0,1168.0,83.0,417.0,4514.0,45.0
72.0,1770.0,1388.0,191.0,813.0,4234.0,49.0
756.0,235.0,137.0,0.0,24.0,1152.0,86.0
124.0,2430.0,1592.0,335.0,1173.0,5654.0,31.0
541.0,2061.0,837.0,64.0,708.0,4211.0,49.0
25.0,2414.0,583.0,0.0,916.0,3938.0,52.0
12.0,2505.0,835.0,84.0,835.0,4271.0,48.0
31.0,2297.0,574.0,82.0,1395.0,4379.0,47.0
36.0,3743.0,915.0,0.0,749.0,5443.0,34.0
39.0,2804.0,1052.0,0.0,911.0,4806.0,42.0
187.0,1963.0,528.0,151.0,528.0,3357.0,59.0
527.0,1690.0,682.0,0.0,390.0,3289.0,60.0
10.0,2898.0,1159.0,331.0,1076.0,5474.0,33.0
41.0,3370.0,1525.0,80.0,883.0,5899.0,28.0
40.0,2271.0,757.0,168.0,1430.0,4666.0,43.0
88.0,2757.0,568.0,81.0,811.0,4305.0,48.0
2.0,3578.0,1165.0,0.0,915.0,5660.0,31.0
40.0,2735.0,885.0,0.0,1207.0,4867.0,41.0
51.0,3114.0,1599.0,0.0,673.0,5437.0,34.0
84.0,3180.0,921.0,0.0,753.0,4938.0,40.0
109.0,599.0,200.0,50.0,50.0,1008.0,88.0
1192.0,542.0,304.0,19.0,67.0,2124.0,74.0
480.0,1033.0,207.0,0.0,89.0,1809.0,78.0
876.0,713.0,327.0,0.0,0.0,1916.0,77.0
57.0,3420.0,1501.0,83.0,667.0,5728.0,30.0
88.0,1825.0,746.0,83.0,912.0,3654.0,56.0
126.0,1118.0,712.0,51.0,254.0,2261.0,73.0
146.0,1693.0,302.0,60.0,181.0,2382.0,71.0
156.0,77.0,53.0,6.0,24.0,316.0,96.0
44.0,1392.0,1127.0,133.0,464.0,3160.0,62.0
461.0,1284.0,676.0,68.0,338.0,2827.0,66.0
55.0,2162.0,998.0,166.0,998.0,4379.0,47.0
101.0,3158.0,1579.0,332.0,1080.0,6250.0,24.0
65.0,2648.0,1324.0,0.0,662.0,4699.0,43.0
64.0,3039.0,657.0,164.0,1232.0,5156.0,37.0
23.0,540.0,0.0,0.0,309.0,872.0,89.0
66.0,170.0,0.0,0.0,339.0,575.0,93.0
72.0,355.0,355.0,89.0,266.0,1137.0,86.0
424.0,183.0,79.0,0.0,52.0,738.0,91.0
158.0,0.0,0.0,0.0,92.0,250.0,97.0
2.0,215.0,0.0,0.0,287.0,504.0,94.0
