overspeed,accel,decel,stop,start,cluster,score
264,228,228,0,114,44,95
280,187,107,0,26,97,94
401,172,287,28,143,25,88
262,185,159,0,0,97,94
49,1352,721,0,180,74,36
307,341,284,0,56,53,79
315,213,159,0,26,97,94
921,150,100,0,50,71,81
688,231,115,25,141,18,76
1021,217,148,8,34,77,72
252,627,358,0,44,31,82
1265,144,144,12,60,20,59
269,161,107,0,53,97,94
448,258,201,0,0,21,83
424,186,159,26,26,25,88
389,169,282,0,84,25,88
226,158,395,26,52,44,95
476,140,140,28,112,25,88
196,55,55,27,110,97,94
177,115,86,0,28,97,94
73,676,156,0,52,33,85
144,661,60,0,240,10,77
224,85,200,28,114,44,95
263,268,107,0,26,66,90
121,725,241,0,60,60,70
94,553,632,79,474,75,71
314,439,247,0,109,57,80
278,212,132,0,26,97,94
380,173,115,0,86,25,88
275,227,312,0,113,44,95
211,214,188,0,26,44,95
454,268,160,0,53,21,83
10,1209,241,80,483,26,48
345,285,285,0,28,53,79
200,235,196,0,117,44,95
407,170,227,0,56,25,88
413,159,266,0,106,25,88
363,170,255,0,28,25,88
258,187,214,26,53,44,95
379,227,199,0,85,25,88
270,29,0,0,58,80,96
450,258,172,0,57,21,83
151,106,26,0,26,70,98
240,398,313,0,113,91,78
462,202,277,0,25,53,79
405,257,343,57,85,53,79
227,1798,1144,108,817,59,19
26,2929,836,167,753,2,5
26,1973,575,328,904,82,13
507,313,197,11,46,21,83
303,416,157,22,11,57,80
315,1614,739,67,269,74,36
341,970,242,0,291,23,55
60,1538,576,0,672,9,28
566,1118,692,0,372,78,33
947,1103,998,52,262,24,30
46,2414,999,166,1082,79,8
42,2397,1074,82,992,79,8
33,2658,581,83,664,94,12
83,2016,1071,0,567,62,16
25,3021,734,81,898,2,5
44,2500,1000,0,916,79,8
79,2157,1410,82,995,67,11
35,3099,921,167,837,2,5
39,3418,1367,227,1291,4,6
975,278,110,4,33,51,63
109,802,301,0,50,60,70
218,187,65,18,28,97,94
127,124,108,8,8,97,94
36,2584,783,0,1018,79,8
147,1567,406,58,580,1,37
130,2806,438,0,701,94,12
30,2324,664,0,747,94,12
47,3259,668,83,668,2,5
48,1920,1001,83,751,59,19
149,2619,673,74,897,79,8
10,2835,1167,83,417,42,21
72,1770,1387,191,813,67,11
756,234,137,0,24,18,76
124,2429,1591,335,1173,67,11
541,2060,837,64,708,65,14
25,2413,582,0,915,94,12
11,2505,835,83,835,79,8
30,2297,574,82,1394,11,9
36,3743,914,0,748,2,5
38,2804,1051,0,911,2,5
186,1962,528,150,528,98,26
527,1689,682,0,389,63,27
10,2897,1159,331,1076,2,5
40,3370,1524,80,882,4,6
40,2271,757,168,1429,11,9
88,2757,567,81,810,94,12
2,3577,1164,0,915,2,5
40,2735,884,0,1206,2,5
50,3113,1598,0,673,4,6
84,3180,920,0,753,2,5
109,599,199,49,49,33,85
1191,541,304,19,66,30,41
480,1033,206,0,88,40,58
875,713,327,0,0,32,42
57,3419,1501,83,667,4,6
88,1824,746,82,912,82,13
125,1118,711,50,254,55,45
146,1692,302,60,181,12,40
156,76,52,5,23,70,98
43,1391,1126,132,463,3,32
460,1283,675,67,337,78,33
55,2162,997,166,997,79,8
101,3158,1579,332,1080,4,6
64,2648,1324,0,662,4,6
64,3038,657,164,1231,81,7
22,540,0,0,308,5,89
66,169,0,0,339,27,93
71,354,354,88,266,43,84
424,183,78,0,52,25,88
157,0,0,0,92,92,100
2,215,0,0,286,16,97
695,51,72,0,10,58,87
785,70,40,0,30,71,81
16,482,0,0,275,5,89
8,578,165,0,165,31,82
147,11,17,0,11,70,98
356,17,17,0,41,80,96
259,50,25,0,75,80,96
392,233,46,0,93,66,90
317,161,225,0,32,25,88
63,168,0,0,56,47,99
793,52,20,0,72,71,81
868,48,9,0,38,71,81
236,1119,511,0,191,55,45
311,1401,305,17,359,6,44
203,959,255,31,287,95,52
78,791,189,0,126,60,70
693,431,33,0,66,18,76
574,590,442,36,627,28,53
190,984,349,63,317,95,52
236,1044,302,82,219,95,52
162,484,193,0,225,10,77
174,1171,316,31,221,95,52
226,991,351,127,351,95,52
208,828,254,0,318,68,62
191,646,226,0,161,10,77
540,662,189,0,31,54,64
152,1513,345,79,398,1,37
371,789,376,0,225,23,55
338,589,309,19,202,57,80
226,290,0,0,105,66,90
138,1350,588,103,346,0,35
395,1011,239,53,186,23,55
15,856,151,0,201,60,70
139,955,92,0,154,17,68
173,648,162,0,162,10,77
518,880,220,0,125,23,55
338,1119,179,0,179,40,58
65,1738,155,62,248,12,40
772,260,80,0,12,18,76
427,581,193,0,48,64,73
398,253,28,0,84,66,90
856,309,257,0,85,38,66
1429,128,54,3,11,20,59
44,1335,506,46,414,72,39
166,719,294,32,228,90,57
176,1351,400,50,100,6,44
27,1621,423,0,564,1,37
145,1487,650,92,278,0,35
263,1027,695,0,198,55,45
127,1015,222,63,158,17,68
549,514,192,32,128,54,64
224,798,153,0,92,33,85
2711,254,88,5,22,61,34
486,319,110,0,0,21,83
2335,973,307,49,108,22,18
241,1120,640,64,256,55,45
175,1311,238,29,238,76,61
159,399,92,30,214,57,80
121,1109,126,31,126,17,68
314,1087,262,0,262,23,55
192,1101,297,29,327,95,52
275,580,232,29,203,57,80
115,1631,607,113,531,1,37
172,1108,369,61,338,95,52
241,1557,695,66,298,74,36
146,1447,504,67,471,0,35
198,1110,539,63,317,55,45
121,1460,349,31,190,6,44
1,1592,324,32,519,1,37
440,481,224,0,160,13,74
989,1008,358,156,291,29,29
279,727,363,0,161,90,57
1224,421,76,0,25,20,59
1154,892,297,31,203,29,29
42,877,152,76,76,60,70
444,1139,221,31,189,40,58
439,1007,251,31,188,23,55
539,565,113,0,113,54,64
365,1067,123,0,246,40,58
69,1572,561,37,187,0,35
78,418,11,0,77,37,92
336,570,0,0,33,84,86
259,1248,384,0,352,95,52
223,1170,316,31,253,95,52
26,1034,886,221,295,3,32
114,1266,253,31,63,76,61
238,1437,606,63,159,74,36
2,920,167,0,334,17,68
2659,270,243,9,126,61,34
205,671,83,0,671,68,62
60,783,261,87,348,68,62
157,1481,155,77,389,34,50
55,339,169,84,593,86,67
111,1758,0,97,293,12,40
93,1088,204,0,680,26,48
9,1585,0,0,495,1,37
123,775,96,0,678,68,62
53,1223,94,0,376,34,50
34,1038,0,94,188,17,68
19,983,0,0,295,17,68
80,587,146,0,293,19,75
26,859,0,0,286,17,68
182,682,0,0,487,68,62
41,1677,98,0,394,1,37
84,1149,191,0,862,26,48
289,333,83,0,208,66,90
401,762,84,0,254,10,77
41,693,198,0,594,68,62
81,1025,186,93,652,26,48
34,1076,97,0,293,17,68
98,675,192,96,578,68,62
36,1085,295,0,493,26,48
2,1212,259,0,86,76,61
148,1303,81,81,488,34,50
85,1584,198,0,594,1,37
11,1748,388,97,777,1,37
104,847,0,0,565,68,62
97,1280,213,71,213,76,61
108,1010,77,0,621,26,48
49,455,136,0,182,14,91
25,573,63,0,191,5,89
63,996,199,199,697,26,48
58,1190,0,99,495,34,50
30,1250,96,0,384,34,50
43,1121,0,0,480,34,50
50,997,0,0,698,26,48
44,696,99,99,99,33,85
22,598,99,0,798,86,67
252,1097,365,0,438,95,52
425,625,0,39,156,64,73
402,532,114,38,228,64,73
11,1353,90,0,541,34,50
145,884,98,196,294,10,77
18,889,0,0,296,17,68
33,721,80,0,881,8,47
16,653,93,0,466,19,75
107,1080,687,0,490,15,38
146,686,98,0,588,68,62
32,1093,156,156,624,26,48
250,594,219,62,407,46,60
120,39,78,0,39,70,98
3506,115,115,6,81,50,20
3002,115,39,6,46,50,20
41,698,349,174,873,8,47
34,658,0,0,188,10,77
194,772,206,0,412,68,62
109,528,264,0,422,46,60
1786,85,19,4,19,36,43
761,258,60,15,75,18,76
485,297,91,0,228,21,83
308,290,128,32,161,66,90
263,491,137,19,177,57,80
129,1290,151,75,379,34,50
60,392,196,0,392,19,75
39,1898,299,0,99,12,40
688,1403,667,115,529,24,30
445,1663,359,136,657,63,27
244,655,100,100,252,10,77
693,970,323,67,323,52,46
29,795,361,144,361,73,54
100,1358,339,0,226,72,39
806,1152,420,171,467,24,30
1089,551,308,66,176,32,42
283,1896,528,217,528,98,26
235,1345,412,137,824,9,28
705,1533,572,251,675,24,30
278,1947,726,246,781,65,14
229,1824,613,226,839,82,13
329,1615,461,86,519,63,27
58,1611,210,140,700,1,37
429,1666,628,157,660,65,14
441,1771,590,248,621,65,14
661,1343,460,163,527,24,30
116,441,176,58,117,14,91
276,1519,455,60,790,9,28
179,1681,513,114,712,1,37
410,1329,471,128,471,63,27
108,1587,404,217,466,1,37
202,1158,471,42,514,72,39
84,1632,457,159,537,1,37
339,1463,452,133,385,63,27
271,1482,518,135,753,9,28
450,1904,600,144,620,65,14
418,757,225,0,177,23,55
622,1676,365,106,613,63,27
371,2077,701,238,617,65,14
171,1735,1134,200,533,59,19
179,1503,341,205,444,1,37
16,2256,369,73,517,98,26
673,1046,357,123,440,24,30
965,351,263,0,175,51,63
903,1147,396,198,553,24,30
441,1716,519,86,418,63,27
369,1411,371,148,371,63,27
101,1637,358,102,614,1,37
501,1529,456,137,570,63,27
572,1727,490,163,445,63,27
610,1999,598,188,645,65,14
452,1495,524,100,658,63,27
375,1518,412,165,627,63,27
65,1917,438,164,438,98,26
288,1852,621,182,743,65,14
93,1706,286,114,675,1,37
419,1385,359,116,444,63,27
19,317,0,0,79,16,97
590,1778,547,136,658,65,14
157,1577,112,0,732,1,37
182,1201,369,46,92,55,45
330,1515,381,92,555,63,27
24,153,153,0,102,44,95
978,346,185,30,107,51,63
569,1797,786,199,748,65,14
100,1355,602,301,527,15,38
518,1462,560,97,642,63,27
2,531,118,0,147,5,89
400,497,248,71,142,53,79
38,1296,762,228,152,74,36
225,1249,408,113,227,55,45
42,471,196,39,196,31,82
270,823,308,0,205,90,57
23,922,230,76,461,68,62
10,918,459,91,367,73,54
164,1245,426,142,391,72,39
390,615,197,49,246,13,74
550,483,230,46,115,54,64
115,367,147,147,367,19,75
151,603,301,0,215,31,82
177,781,434,130,303,90,57
122,356,267,0,178,43,84
19,1120,311,124,622,26,48
94,719,169,0,296,10,77
71,538,269,38,230,31,82
12,938,125,125,437,17,68
10,1351,193,96,579,34,50
104,827,243,48,437,68,62
72,535,89,29,208,5,89
128,863,690,287,632,8,47
192,363,145,0,218,57,80
56,465,93,0,279,5,89
51,290,145,29,116,14,91
370,478,170,34,102,53,79
419,363,60,0,242,21,83
137,492,454,37,302,48,69
50,586,83,83,503,68,62
47,1093,430,99,464,26,48
264,367,122,40,122,57,80
159,517,474,86,345,48,69
37,685,187,62,249,19,75
158,416,243,0,69,57,80
287,470,156,52,26,57,80
413,755,133,133,266,23,55
215,524,218,0,174,57,80
113,629,125,83,293,10,77
143,597,56,85,142,33,85
3,376,268,53,0,14,91
84,406,58,58,174,37,92
127,383,76,115,230,43,84
89,191,95,95,287,16,97
117,973,99,0,249,17,68
162,589,453,136,272,48,69
87,557,348,69,278,48,69
27,941,282,0,188,60,70
101,605,141,20,161,33,85
224,753,465,66,265,90,57
22,942,171,85,342,17,68
2,1809,180,0,271,12,40
95,578,150,25,75,33,85
360,388,181,25,181,57,80
259,679,206,0,118,10,77
166,756,604,75,302,73,54
77,515,193,64,128,14,91
15,1593,919,183,490,0,35
102,1129,264,120,528,26,48
382,1231,307,61,369,95,52
673,282,235,94,188,18,76
39,809,333,142,190,99,56
617,274,34,34,205,21,83
187,281,127,0,51,37,92
115,889,205,68,342,68,62
409,164,41,0,27,25,88
64,868,186,31,155,60,70
121,1450,763,114,648,0,35
31,492,109,0,164,14,91
6,845,93,0,469,68,62
310,517,554,36,221,28,53
80,79,79,19,19,47,99
660,519,138,0,69,54,64
555,376,188,53,242,38,66
152,100,0,0,0,70,98
299,206,247,82,535,43,84
299,538,377,53,1940,7,17
62,863,383,95,287,60,70
86,786,196,0,196,60,70
647,83,69,13,55,58,87
1463,144,72,12,60,20,59
90,52,26,0,52,47,99
118,412,648,117,353,75,71
125,165,47,0,23,16,97
188,260,108,21,86,37,92
280,1092,382,54,163,95,52
56,217,138,39,197,16,97
432,438,115,23,23,21,83
368,60,42,3,24,80,96
4051,167,38,7,11,35,10
101,528,387,70,211,31,82
246,1627,336,0,392,1,37
934,27,15,0,0,71,81
633,129,24,4,22,58,87
189,450,135,0,180,57,80
192,691,345,0,197,90,57
67,46,92,0,3142,56,15
271,1083,349,34,174,95,52
171,141,236,0,0,44,95
339,906,741,41,370,87,51
323,727,788,60,242,87,51
113,248,67,33,158,37,92
146,148,74,10,74,16,97
371,486,243,48,0,53,79
274,641,1053,137,503,87,51
87,501,136,0,136,14,91
164,721,504,144,288,90,57
146,489,305,61,122,91,78
233,716,223,134,223,90,57
195,332,380,47,237,91,78
595,96,289,0,144,18,76
215,1059,1059,0,325,3,32
251,889,646,0,565,73,54
245,542,197,0,49,64,73
215,1029,494,82,247,55,45
135,767,426,42,170,90,57
159,1033,842,0,153,96,49
297,554,554,0,231,28,53
326,461,461,92,369,28,53
147,542,316,45,316,48,69
72,907,373,53,533,26,48
245,335,383,0,143,91,78
158,973,486,243,389,15,38
40,144,241,48,96,44,95
35,848,759,178,268,96,49
67,189,0,0,47,47,99
273,399,177,0,44,57,80
75,193,145,0,0,44,95
601,1129,564,94,141,52,46
98,1708,925,142,498,59,19
20,783,87,0,261,10,77
97,289,289,0,48,14,91
152,294,441,49,196,91,78
78,378,189,0,47,14,91
309,1248,707,124,457,78,33
203,95,286,47,191,44,95
465,1452,908,145,217,78,33
36,291,242,0,48,14,91
54,1186,395,65,428,72,39
201,377,471,47,141,91,78
74,1028,1079,154,514,3,32
381,335,335,0,143,53,79
312,931,784,196,539,3,32
158,336,144,0,144,37,92
420,1059,690,92,138,78,33
2,1401,494,329,989,9,28
88,232,139,0,46,14,91
161,528,749,176,440,87,51
117,433,192,96,96,14,91
151,873,597,91,505,73,54
158,390,438,0,48,91,78
1557,231,256,24,61,20,59
659,188,155,24,98,18,76
474,484,559,74,186,28,53
55,347,270,0,193,14,91
243,844,301,120,362,73,54
139,670,670,134,268,87,51
213,927,855,142,570,3,32
390,1442,1114,65,196,74,36
380,1192,564,125,313,78,33
287,1256,529,198,198,78,33
17,362,120,0,120,37,92
68,714,0,0,59,33,85
24,804,67,0,67,33,85
431,1740,1405,133,200,49,23
275,782,586,65,391,73,54
3119,76,138,0,27,50,20
2568,138,52,0,39,61,34
224,1244,1037,138,691,3,32
510,984,1181,196,328,3,32
79,918,524,0,262,99,56
186,1707,1211,55,605,59,19
148,1183,526,0,197,55,45
138,1150,431,71,143,55,45
273,1401,667,133,266,74,36
349,1063,465,66,332,55,45
377,1733,770,0,0,49,23
153,1313,472,52,315,72,39
721,1268,1268,200,333,3,32
77,996,398,0,0,99,56
2918,174,79,0,39,50,20
1092,107,161,13,40,77,72
491,161,138,0,23,21,83
384,140,23,0,0,25,88
459,69,69,23,69,25,88
240,869,668,0,200,55,45
313,1818,1038,0,194,49,23
1647,78,52,0,13,20,59
995,204,111,0,37,77,72
951,108,46,0,7,71,81
58,1461,132,0,332,6,44
351,2005,1069,133,200,49,23
77,1007,537,0,134,99,56
460,1667,1400,66,200,49,23
178,1398,223,55,55,6,44
279,145,48,9,29,97,94
435,416,277,34,0,53,79
73,383,230,76,0,14,91
2010,180,74,0,53,36,43
211,381,88,0,29,84,86
157,440,514,0,183,91,78
297,319,261,29,0,53,79
777,441,100,20,60,18,76
1348,133,50,6,31,20,59
2762,393,135,6,36,22,18
386,1068,601,133,400,15,38
521,1315,637,39,278,78,33
247,873,336,67,436,73,54
155,800,517,0,235,90,57
1614,158,60,0,12,20,59
45,1864,1009,155,776,59,19
1128,271,49,12,24,77,72
204,1472,936,66,267,74,36
452,828,165,0,220,23,55
1596,229,170,0,25,20,59
382,479,59,0,0,21,83
1971,430,443,26,52,36,43
32,1165,971,0,388,3,32
2771,614,366,39,148,22,18
1486,789,476,16,65,93,31
1407,319,186,26,53,20,59
367,325,244,0,27,53,79
467,309,344,103,206,53,79
40,683,281,40,362,19,75
532,412,240,34,68,54,64
430,1020,716,82,716,3,32
360,372,212,0,265,57,80
428,655,206,34,172,64,73
345,374,207,41,291,57,80
439,447,206,68,275,13,74
0,780,546,0,156,45,65
525,562,216,43,129,54,64
118,309,171,0,240,43,84
145,248,248,0,0,44,95
59,719,319,159,639,68,62
438,412,206,0,206,13,74
175,398,318,0,119,91,78
325,413,103,68,241,13,74
8,805,495,61,371,73,54
73,279,418,0,418,43,84
693,419,369,0,134,38,66
288,356,338,53,160,91,78
52,1163,249,0,498,26,48
6,847,169,169,508,68,62
194,584,171,34,240,10,77
226,826,196,39,236,10,77
558,584,275,0,206,13,74
3,537,335,67,201,48,69
127,312,156,78,156,43,84
277,517,207,34,276,57,80
327,354,248,35,70,53,79
362,517,241,34,241,13,74
248,375,187,0,46,57,80
58,852,658,38,193,96,49
92,551,206,0,344,19,75
117,417,417,0,83,91,78
185,943,580,72,290,55,45
426,413,206,34,172,13,74
362,697,394,60,364,46,60
71,734,0,113,508,68,62
0,782,97,97,587,68,62
146,621,138,34,345,10,77
