overspeed,accel,decel,stop,start,cluster,score
264,228,228,0,114,60,89
280,187,107,0,26,15,93
401,172,287,28,143,60,89
262,185,159,0,0,60,89
49,1352,721,0,180,44,46
307,341,284,0,56,67,83
315,213,159,0,26,60,89
921,150,100,0,50,24,81
688,231,115,25,141,4,76
1021,217,148,8,34,65,74
252,627,358,0,44,84,75
1265,144,144,12,60,77,64
269,161,107,0,53,15,93
448,258,201,0,0,17,80
424,186,159,26,26,57,90
389,169,282,0,84,60,89
226,158,395,26,52,60,89
476,140,140,28,112,17,80
196,55,55,27,110,19,98
177,115,86,0,28,19,98
73,676,156,0,52,58,85
144,661,60,0,240,16,82
224,85,200,28,114,60,89
263,268,107,0,26,15,93
121,725,241,0,60,58,85
94,553,632,79,474,83,66
314,439,247,0,109,67,83
278,212,132,0,26,15,93
380,173,115,0,86,57,90
275,227,312,0,113,60,89
211,214,188,0,26,15,93
454,268,160,0,53,17,80
10,1209,241,80,483,74,56
345,285,285,0,28,67,83
200,235,196,0,117,60,89
407,170,227,0,56,60,89
413,159,266,0,106,60,89
363,170,255,0,28,60,89
258,187,214,26,53,60,89
379,227,199,0,85,60,89
270,29,0,0,58,90,95
450,258,172,0,57,17,80
151,106,26,0,26,19,98
240,398,313,0,113,67,83
462,202,277,0,25,60,89
405,257,343,57,85,28,71
227,1798,1144,108,817,89,22
26,2929,836,167,753,53,7
26,1973,575,328,904,12,14
507,313,197,11,46,17,80
303,416,157,22,11,67,83
315,1614,739,67,269,81,31
341,970,242,0,291,21,65
60,1538,576,0,672,85,33
566,1118,692,0,372,27,39
947,1103,998,52,262,27,39
46,2414,999,166,1082,6,9
42,2397,1074,82,992,6,9
33,2658,581,83,664,69,12
83,2016,1071,0,567,52,19
25,3021,734,81,898,53,7
44,2500,1000,0,916,6,9
79,2157,1410,82,995,6,9
35,3099,921,167,837,53,7
39,3418,1367,227,1291,92,5
975,278,110,4,33,32,61
109,802,301,0,50,36,69
218,187,65,18,28,15,93
127,124,108,8,8,19,98
36,2584,783,0,1018,26,8
147,1567,406,58,580,48,45
130,2806,438,0,701,69,12
30,2324,664,0,747,69,12
47,3259,668,83,668,53,7
48,1920,1001,83,751,89,22
149,2619,673,74,897,69,12
10,2835,1167,83,417,68,18
72,1770,1387,191,813,89,22
756,234,137,0,24,4,76
124,2429,1591,335,1173,6,9
541,2060,837,64,708,82,15
25,2413,582,0,915,69,12
11,2505,835,83,835,69,12
30,2297,574,82,1394,64,10
36,3743,914,0,748,92,5
38,2804,1051,0,911,26,8
186,1962,528,150,528,78,37
527,1689,682,0,389,91,23
10,2897,1159,331,1076,26,8
40,3370,1524,80,882,92,5
40,2271,757,168,1429,64,10
88,2757,567,81,810,69,12
2,3577,1164,0,915,92,5
40,2735,884,0,1206,26,8
50,3113,1598,0,673,13,6
84,3180,920,0,753,53,7
109,599,199,49,49,20,86
