user,trip,overspeed
08ubFCItgmXZY4nkhvl5KpCSKR92,1597888651771 ,0
08ubFCItgmXZY4nkhvl5KpCSKR92,1597903429332 ,32
08ubFCItgmXZY4nkhvl5KpCSKR92,1597941777778 ,29
08ubFCItgmXZY4nkhvl5KpCSKR92,1597989791301 ,41
08ubFCItgmXZY4nkhvl5KpCSKR92,1598026449769 ,42
08ubFCItgmXZY4nkhvl5KpCSKR92,1598055309446 ,10
08ubFCItgmXZY4nkhvl5KpCSKR92,1598075983885 ,39
08ubFCItgmXZY4nkhvl5KpCSKR92,1598112541107 ,43
08ubFCItgmXZY4nkhvl5KpCSKR92,1598142229651 ,83
08ubFCItgmXZY4nkhvl5KpCSKR92,1598151151251 ,0
08ubFCItgmXZY4nkhvl5KpCSKR92,1598157398215 ,63
08ubFCItgmXZY4nkhvl5KpCSKR92,1598228965566 ,129
08ubFCItgmXZY4nkhvl5KpCSKR92,1598241314527 ,0
08ubFCItgmXZY4nkhvl5KpCSKR92,1598250639396 ,55
08ubFCItgmXZY4nkhvl5KpCSKR92,1598254759102 ,95
08ubFCItgmXZY4nkhvl5KpCSKR92,1598632875066 ,43
08ubFCItgmXZY4nkhvl5KpCSKR92,1598763336635 ,0
08ubFCItgmXZY4nkhvl5KpCSKR92,1598833201633 ,0
08ubFCItgmXZY4nkhvl5KpCSKR92,1598838232153 ,0
08ubFCItgmXZY4nkhvl5KpCSKR92,1598854190787 ,41
08ubFCItgmXZY4nkhvl5KpCSKR92,1598890424820 ,48
08ubFCItgmXZY4nkhvl5KpCSKR92,1598919784630 ,0
08ubFCItgmXZY4nkhvl5KpCSKR92,1598939899818 ,39
08ubFCItgmXZY4nkhvl5KpCSKR92,1598976527055 ,41
08ubFCItgmXZY4nkhvl5KpCSKR92,1599026435642 ,44
08ubFCItgmXZY4nkhvl5KpCSKR92,1599063806638 ,30
08ubFCItgmXZY4nkhvl5KpCSKR92,1599113368489 ,26
08ubFCItgmXZY4nkhvl5KpCSKR92,1599372530132 ,17
08ubFCItgmXZY4nkhvl5KpCSKR92,1599379069059 ,29
08ubFCItgmXZY4nkhvl5KpCSKR92,1599458801905 ,38
08ubFCItgmXZY4nkhvl5KpCSKR92,1599496710380 ,33
08ubFCItgmXZY4nkhvl5KpCSKR92,1599539435928 ,11
08ubFCItgmXZY4nkhvl5KpCSKR92,1599542789048 ,29
08ubFCItgmXZY4nkhvl5KpCSKR92,1599550263337 ,12
08ubFCItgmXZY4nkhvl5KpCSKR92,1599616263171 ,37
08ubFCItgmXZY4nkhvl5KpCSKR92,1599930099902 ,42
08ubFCItgmXZY4nkhvl5KpCSKR92,1600043679113 ,31
08ubFCItgmXZY4nkhvl5KpCSKR92,1600149387014 ,36
08ubFCItgmXZY4nkhvl5KpCSKR92,1600186843260 ,42
08ubFCItgmXZY4nkhvl5KpCSKR92,1600446216608 ,39
08ubFCItgmXZY4nkhvl5KpCSKR92,1600586644586 ,5
08ubFCItgmXZY4nkhvl5KpCSKR92,1600593822504 ,5
08ubFCItgmXZY4nkhvl5KpCSKR92,1600599516518 ,0
08ubFCItgmXZY4nkhvl5KpCSKR92,1600601745373 ,0
08ubFCItgmXZY4nkhvl5KpCSKR92,1600603265565 ,0
08ubFCItgmXZY4nkhvl5KpCSKR92,1600754326761 ,12
08ubFCItgmXZY4nkhvl5KpCSKR92,1600840313210 ,38
08ubFCItgmXZY4nkhvl5KpCSKR92,1600875786469 ,34
08ubFCItgmXZY4nkhvl5KpCSKR92,1600927254630 ,39
08ubFCItgmXZY4nkhvl5KpCSKR92,1601139099112 ,44
08ubFCItgmXZY4nkhvl5KpCSKR92,1601272334563 ,40
08ubFCItgmXZY4nkhvl5KpCSKR92,1601316650026 ,41
08ubFCItgmXZY4nkhvl5KpCSKR92,1601358947345 ,42
08ubFCItgmXZY4nkhvl5KpCSKR92,1601654546113 ,38
08ubFCItgmXZY4nkhvl5KpCSKR92,1601705065866 ,40
08ubFCItgmXZY4nkhvl5KpCSKR92,1601749514980 ,30
08ubFCItgmXZY4nkhvl5KpCSKR92,1601877997163 ,41
08ubFCItgmXZY4nkhvl5KpCSKR92,1601916738687 ,44
08ubFCItgmXZY4nkhvl5KpCSKR92,1601964099835 ,43
08ubFCItgmXZY4nkhvl5KpCSKR92,1602482649655 ,37
