user,trip,accel,decel,stop,start,distance
08ubFCItgmXZY4nkhvl5KpCSKR92,1597903429332,8,8,0,4,35065.73
08ubFCItgmXZY4nkhvl5KpCSKR92,1597941777778,7,4,0,1,37360.613
08ubFCItgmXZY4nkhvl5KpCSKR92,1597989791301,6,10,1,5,34795.34
08ubFCItgmXZY4nkhvl5KpCSKR92,1598026449769,7,6,0,0,37702.996
08ubFCItgmXZY4nkhvl5KpCSKR92,1598055309446,15,8,0,2,11092.059
08ubFCItgmXZY4nkhvl5KpCSKR92,1598075983885,12,10,0,2,35187.355
08ubFCItgmXZY4nkhvl5KpCSKR92,1598112541107,8,6,0,1,37539.6
08ubFCItgmXZY4nkhvl5KpCSKR92,1598142229651,12,8,0,4,79533.164
08ubFCItgmXZY4nkhvl5KpCSKR92,1598157398215,18,9,2,11,77895.64
08ubFCItgmXZY4nkhvl5KpCSKR92,1598228965566,25,17,1,4,114856.586
08ubFCItgmXZY4nkhvl5KpCSKR92,1598250639396,14,8,0,1,22306.283
08ubFCItgmXZY4nkhvl5KpCSKR92,1598254759102,12,12,1,5,82759.78
08ubFCItgmXZY4nkhvl5KpCSKR92,1598632875066,6,4,0,2,37180.26
08ubFCItgmXZY4nkhvl5KpCSKR92,1598854190787,9,7,0,0,34790.395
08ubFCItgmXZY4nkhvl5KpCSKR92,1598890424820,7,6,1,1,37513.29
08ubFCItgmXZY4nkhvl5KpCSKR92,1598939899818,6,10,0,3,35345.41
08ubFCItgmXZY4nkhvl5KpCSKR92,1598976527055,6,15,1,2,37881.074
08ubFCItgmXZY4nkhvl5KpCSKR92,1599026435642,5,5,1,4,35591.098
08ubFCItgmXZY4nkhvl5KpCSKR92,1599063806638,2,2,1,4,36265.9
08ubFCItgmXZY4nkhvl5KpCSKR92,1599113368489,4,3,0,1,34715.74
08ubFCItgmXZY4nkhvl5KpCSKR92,1599372530132,13,3,0,1,19214.65
08ubFCItgmXZY4nkhvl5KpCSKR92,1599379069059,11,1,0,4,16618.1
08ubFCItgmXZY4nkhvl5KpCSKR92,1599458801905,3,7,1,4,34895.895
08ubFCItgmXZY4nkhvl5KpCSKR92,1599496710380,10,4,0,1,37183.945
08ubFCItgmXZY4nkhvl5KpCSKR92,1599542789048,24,8,0,2,33094.375
08ubFCItgmXZY4nkhvl5KpCSKR92,1599550263337,7,8,1,6,12656.075
08ubFCItgmXZY4nkhvl5KpCSKR92,1599616263171,16,9,0,4,36372.418
08ubFCItgmXZY4nkhvl5KpCSKR92,1599930099902,8,5,0,1,37610.27
08ubFCItgmXZY4nkhvl5KpCSKR92,1600043679113,6,4,0,3,34666.383
08ubFCItgmXZY4nkhvl5KpCSKR92,1600149387014,8,11,0,4,35221.91
08ubFCItgmXZY4nkhvl5KpCSKR92,1600186843260,8,7,0,1,37214.51
08ubFCItgmXZY4nkhvl5KpCSKR92,1600446216608,10,6,0,2,37309.137
08ubFCItgmXZY4nkhvl5KpCSKR92,1600754326761,15,3,1,6,12400.025
08ubFCItgmXZY4nkhvl5KpCSKR92,1600840313210,10,10,0,1,35075.227
08ubFCItgmXZY4nkhvl5KpCSKR92,1600875786469,6,5,0,3,25430.725
08ubFCItgmXZY4nkhvl5KpCSKR92,1600927254630,6,8,0,2,35115.758
08ubFCItgmXZY4nkhvl5KpCSKR92,1601139099112,6,10,0,4,37522.543
08ubFCItgmXZY4nkhvl5KpCSKR92,1601272334563,6,9,0,1,35279.31
08ubFCItgmXZY4nkhvl5KpCSKR92,1601316650026,7,8,1,2,37272.13
08ubFCItgmXZY4nkhvl5KpCSKR92,1601358947345,8,7,0,3,35143.46
08ubFCItgmXZY4nkhvl5KpCSKR92,1601654546113,1,0,0,2,34380.41
08ubFCItgmXZY4nkhvl5KpCSKR92,1601705065866,9,6,0,2,34822.953
08ubFCItgmXZY4nkhvl5KpCSKR92,1601749514980,4,1,0,1,37474.086
08ubFCItgmXZY4nkhvl5KpCSKR92,1601877997163,14,11,0,4,35119.707
08ubFCItgmXZY4nkhvl5KpCSKR92,1601916738687,8,11,0,1,39583.344
08ubFCItgmXZY4nkhvl5KpCSKR92,1601964099835,9,12,2,3,34927.2
08ubFCItgmXZY4nkhvl5KpCSKR92,1602482649655,8,5,0,1,34857.074
08ubFCItgmXZY4nkhvl5KpCSKR92,1602520366156,10,6,1,2,37403.633
08ubFCItgmXZY4nkhvl5KpCSKR92,1602569486624,11,10,0,2,34748.047
08ubFCItgmXZY4nkhvl5KpCSKR92,1602606246051,10,9,1,2,37398.37
0WVbkZqJA0gKSdTFxvTHBoLIov02,1597886296281,33,21,2,15,18348.717
0WVbkZqJA0gKSdTFxvTHBoLIov02,1597967847348,35,10,2,9,11949.253
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598003054605,24,7,4,11,12160.247
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598039301967,27,17,1,4,86175.4
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598055357027,37,14,2,1,88782.6
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598079581513,24,11,1,4,14867.922
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598087623345,20,5,0,6,20616.715
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598096192280,16,6,0,7,10401.258
