user,trip,overspeed,accel,decel,stop,start,distance
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,9.2819825,8,8,0,4,35065.73
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,10.4776113,7,4,0,1,37360.613
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,13.98570232,6,10,1,5,34795.34
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,9.9066344,7,6,0,0,37702.996
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,0.55055308,15,8,0,2,11092.059
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,10.83084391,12,10,0,2,35187.355
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,11.8449548,8,6,0,1,37539.6
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,73.27234383,12,8,0,4,79533.164
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,53.61673878,18,9,2,11,77895.64
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,117.2686349,25,17,1,4,114856.586
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,5.6433349,14,8,0,1,22306.283
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,104.7683875,12,12,1,5,82759.78
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,10.03788414,6,4,0,2,37180.26
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,15.61843536,9,7,0,0,34790.395
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,15.93420014,7,6,1,1,37513.29
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,13.77157351,6,10,0,3,35345.41
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,8.58368182,6,15,1,2,37881.074
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,16.96342392,5,5,1,4,35591.098
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,7.1372763,2,2,1,4,36265.9
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,6.1611935,4,3,0,1,34715.74
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,1.4164893,13,3,0,1,19214.65
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,2.4047266,11,1,0,4,16618.1
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,7.8313032,3,7,1,4,34895.895
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,9.80373008,10,4,0,1,37183.945
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,4.0295916,24,8,0,2,33094.375
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,1.1896712,7,8,1,6,12656.075
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,11.42751056,16,9,0,4,36372.418
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,10.477837,8,5,0,1,37610.27
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,13.18683405,6,4,0,3,34666.383
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,9.68622444,8,11,0,4,35221.91
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,7.852935,8,7,0,1,37214.51
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,16.96528428,10,6,0,2,37309.137
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,0.13554183,15,3,1,6,12400.025
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,12.10505553,10,10,0,1,35075.227
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,5.0897565,6,5,0,3,25430.725
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,14.29836393,6,8,0,2,35115.758
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,15.52868851,6,10,0,4,37522.543
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,12.8324664,6,9,0,1,35279.31
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,9.63375876,7,8,1,2,37272.13
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,13.3407903,8,7,0,3,35143.46
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,9.30046746,1,0,0,2,34380.41
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,15.70403129,9,6,0,2,34822.953
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,5.67092578,4,1,0,1,37474.086
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,8.45041776,14,11,0,4,35119.707
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,18.3269671,8,11,0,1,39583.344
08ubFCItgmXZY4nkhvl5KpCSKR92,1.60E+12,14.15371672,9,12,2,3,34927.2
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,4.17837969,33,21,2,15,18348.717
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.31191726,35,10,2,9,11949.253
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.31772098,24,7,4,11,12160.247
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,43.695981,27,17,1,4,86175.4
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,26.95558646,37,14,2,1,88782.6
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,4.68895495,24,11,1,4,14867.922
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,7.04930688,20,5,0,6,20616.715
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.63345912,16,6,0,7,10401.258
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,10.63959806,21,13,0,7,18775.254
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,18.03181472,21,19,1,5,19037.451
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.56383464,29,12,2,13,12012.009
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.5133774,29,13,1,12,12095.818
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.40745847,32,7,1,8,12038.298
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,1.32241416,32,17,0,9,15871.498
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.31294492,37,9,1,11,12246.151
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.53749923,30,12,0,11,11996.811
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.9589575,26,17,1,12,12051.637
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.41841765,37,11,2,10,11936.233
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.52058178,45,18,3,17,13163.161
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,203.3831923,58,23,1,7,208525.02
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,2.1897213,16,6,0,1,19927.732
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,23.34173837,20,7,2,3,106919.92
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,15.325035,15,13,1,1,120307.64
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.46238972,33,10,0,13,12766.077
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,2.532892992,27,7,1,10,17224.547
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,1.48661667,32,5,0,8,11402.203
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.3622915,28,8,0,9,12043.768
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.57279075,39,8,1,8,11964.144
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.57925245,23,12,1,9,11977.357
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,1.99898594,35,9,1,12,13363.184
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.12437511,34,14,1,5,11989.315
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,1.5080565,37,29,4,17,20898.613
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,154.529835,48,28,0,5,204359.8
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,1.48491852,29,19,4,14,11934.684
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,8.40182856,32,13,1,11,15528.463
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.30588996,29,7,0,11,12013.574
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.14329135,30,10,1,10,11974.575
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.37408644,28,7,1,17,12189.442
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.4329159,45,11,0,9,12022.048
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.551959731,40,15,0,13,14264.916
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,2.47177432,26,7,2,7,13248.176
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,16.22316212,52,21,0,12,30772.068
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.12483312,35,14,4,13,12077.599
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.50929626,42,19,1,11,12461.106
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.47791641,27,9,2,17,11888.864
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,1.08745068,34,7,1,10,12331.97
