,predict,target
7084,86.0,84.0
878,80.0,78.0
3353,83.0,83.0
3991,93.0,93.0
3956,73.0,72.0
6264,93.0,92.0
3021,67.0,64.0
7868,81.0,78.0
3118,83.0,84.0
44,89.0,88.0
6798,73.0,73.0
7596,92.0,91.0
134,79.0,72.0
2100,97.0,96.0
277,77.0,75.0
7603,86.0,84.0
5340,84.0,83.0
4137,92.0,92.0
6431,93.0,92.0
7817,70.0,73.0
304,66.0,68.0
7006,98.0,98.0
3343,88.0,88.0
3474,93.0,92.0
6502,95.0,95.0
1085,90.0,90.0
7771,87.0,87.0
4597,82.0,81.0
6637,72.0,72.0
2306,97.0,97.0
7627,83.0,84.0
7132,94.0,94.0
5280,96.0,96.0
4413,94.0,94.0
2707,95.0,96.0
5352,88.0,87.0
444,87.0,87.0
7228,57.0,62.0
7923,91.0,91.0
1414,78.0,77.0
6810,60.0,62.0
5463,95.0,95.0
1811,98.0,98.0
6474,95.0,95.0
2196,86.0,86.0
1621,75.0,72.0
257,96.0,97.0
651,93.0,92.0
700,74.0,71.0
5806,78.0,80.0
7573,89.0,90.0
3403,83.0,79.0
4610,82.0,82.0
1326,79.0,79.0
1379,91.0,90.0
2799,98.0,98.0
2350,91.0,91.0
6227,98.0,97.0
233,82.0,82.0
888,80.0,81.0
1666,76.0,76.0
2696,100.0,100.0
5591,95.0,95.0
462,92.0,91.0
1812,63.0,64.0
5644,96.0,94.0
6668,86.0,86.0
4065,89.0,89.0
7048,93.0,93.0
4495,95.0,95.0
2652,99.0,99.0
1315,91.0,91.0
5686,82.0,84.0
6706,93.0,94.0
891,89.0,88.0
3391,89.0,87.0
39,90.0,89.0
6690,89.0,89.0
7194,93.0,93.0
2162,74.0,73.0
2632,89.0,88.0
6707,95.0,95.0
4770,86.0,86.0
1861,87.0,87.0
5035,91.0,90.0
1082,97.0,97.0
6596,95.0,94.0
1523,93.0,94.0
244,82.0,82.0
2141,97.0,98.0
6501,96.0,97.0
4228,91.0,90.0
7338,92.0,93.0
2509,94.0,95.0
4121,96.0,97.0
162,77.0,75.0
1332,93.0,92.0
6175,97.0,96.0
274,84.0,84.0
4406,96.0,96.0
704,87.0,87.0
356,93.0,92.0
7829,75.0,73.0
6955,93.0,92.0
5151,100.0,100.0
1815,77.0,76.0
5079,100.0,100.0
548,70.0,69.0
3332,88.0,88.0
2640,91.0,90.0
7778,92.0,93.0
6439,97.0,97.0
394,92.0,92.0
2577,89.0,90.0
2676,100.0,100.0
1235,92.0,92.0
3018,74.0,67.0
5489,86.0,87.0
3233,91.0,92.0
487,78.0,77.0
6809,70.0,68.0
2131,96.0,96.0
4490,89.0,89.0
3656,73.0,75.0
3681,82.0,81.0
2526,96.0,96.0
914,74.0,72.0
4962,92.0,91.0
3281,84.0,83.0
72,52.0,54.0
4799,96.0,96.0
7109,92.0,91.0
6093,75.0,70.0
6670,91.0,91.0
1022,91.0,92.0
188,81.0,81.0
6807,78.0,80.0
5900,90.0,91.0
2150,99.0,99.0
1172,92.0,92.0
2308,96.0,95.0
2554,86.0,85.0
4979,98.0,98.0
4021,85.0,86.0
6828,77.0,73.0
1790,88.0,90.0
989,100.0,100.0
852,79.0,79.0
167,83.0,83.0
7138,98.0,98.0
1220,64.0,58.0
6988,98.0,98.0
5690,72.0,67.0
5292,95.0,96.0
7235,66.0,64.0
5831,67.0,67.0
2006,94.0,94.0
7193,93.0,93.0
3200,99.0,99.0
533,83.0,83.0
979,86.0,85.0
33,88.0,89.0
1143,93.0,93.0
7464,63.0,64.0
4168,88.0,88.0
6565,58.0,56.0
558,81.0,82.0
7910,78.0,78.0
3885,87.0,86.0
509,66.0,54.0
3081,65.0,57.0
2851,100.0,100.0
3119,72.0,73.0
2552,87.0,86.0
6631,90.0,91.0
5029,91.0,91.0
5013,92.0,92.0
5608,99.0,99.0
5890,100.0,100.0
6055,96.0,95.0
1889,91.0,86.0
6956,81.0,80.0
5271,79.0,78.0
4816,81.0,81.0
2700,99.0,98.0
7243,80.0,78.0
2828,97.0,96.0
4759,81.0,82.0
2909,85.0,86.0
2043,93.0,94.0
776,57.0,55.0
451,76.0,76.0
1121,97.0,97.0
7678,88.0,88.0
3671,68.0,67.0
3075,82.0,84.0
6065,93.0,92.0
4281,81.0,80.0
3706,82.0,79.0
5565,65.0,62.0
7079,92.0,91.0
578,84.0,86.0
6470,96.0,95.0
1515,89.0,89.0
2529,93.0,93.0
6561,65.0,66.0
3566,77.0,73.0
4761,80.0,78.0
6987,99.0,99.0
3335,74.0,76.0
3733,97.0,97.0
6524,97.0,96.0
5937,74.0,73.0
234,75.0,77.0
1748,86.0,84.0
574,81.0,79.0
3098,63.0,57.0
5949,70.0,68.0
713,92.0,93.0
1034,87.0,87.0
4156,75.0,72.0
2898,97.0,97.0
3595,81.0,80.0
4844,86.0,87.0
2065,97.0,97.0
2796,99.0,99.0
572,86.0,85.0
5860,96.0,96.0
1014,87.0,87.0
3188,100.0,100.0
2761,87.0,87.0
2260,92.0,91.0
6847,87.0,86.0
1132,97.0,97.0
50,88.0,89.0
3277,83.0,84.0
3473,92.0,92.0
978,85.0,85.0
3974,96.0,96.0
3010,64.0,54.0
5205,72.0,68.0
2078,97.0,97.0
2036,95.0,95.0
1029,90.0,90.0
156,85.0,85.0
1939,63.0,64.0
6087,73.0,72.0
6363,93.0,92.0
5164,100.0,100.0
7411,70.0,69.0
7234,78.0,77.0
593,85.0,85.0
