,predict,target
7084,84.0,84.0
878,78.0,78.0
3353,83.0,83.0
3991,93.0,93.0
3956,72.0,72.0
6264,93.0,92.0
3021,64.0,64.0
7868,77.0,78.0
3118,84.0,84.0
44,88.0,88.0
6798,73.0,73.0
7596,91.0,91.0
134,72.0,72.0
2100,96.0,96.0
277,75.0,75.0
7603,84.0,84.0
5340,83.0,83.0
4137,92.0,92.0
6431,93.0,92.0
7817,73.0,73.0
304,67.0,68.0
7006,98.0,98.0
3343,88.0,88.0
3474,92.0,92.0
6502,95.0,95.0
1085,90.0,90.0
7771,87.0,87.0
4597,81.0,81.0
6637,72.0,72.0
2306,97.0,97.0
7627,84.0,84.0
7132,94.0,94.0
5280,96.0,96.0
4413,94.0,94.0
2707,96.0,96.0
5352,87.0,87.0
444,88.0,87.0
7228,62.0,62.0
7923,91.0,91.0
1414,77.0,77.0
6810,62.0,62.0
5463,95.0,95.0
1811,98.0,98.0
6474,95.0,95.0
2196,86.0,86.0
1621,72.0,72.0
257,97.0,97.0
651,92.0,92.0
700,72.0,71.0
5806,80.0,80.0
7573,90.0,90.0
3403,80.0,79.0
4610,82.0,82.0
1326,79.0,79.0
1379,90.0,90.0
2799,98.0,98.0
2350,91.0,91.0
6227,97.0,97.0
233,82.0,82.0
888,81.0,81.0
1666,76.0,76.0
2696,100.0,100.0
5591,95.0,95.0
462,91.0,91.0
1812,65.0,64.0
5644,94.0,94.0
6668,86.0,86.0
4065,89.0,89.0
7048,93.0,93.0
4495,95.0,95.0
2652,99.0,99.0
1315,91.0,91.0
5686,84.0,84.0
6706,94.0,94.0
891,88.0,88.0
3391,87.0,87.0
39,89.0,89.0
6690,89.0,89.0
7194,93.0,93.0
2162,73.0,73.0
2632,88.0,88.0
6707,95.0,95.0
4770,86.0,86.0
1861,87.0,87.0
5035,90.0,90.0
1082,97.0,97.0
6596,94.0,94.0
1523,94.0,94.0
244,81.0,82.0
2141,98.0,98.0
6501,96.0,97.0
4228,90.0,90.0
7338,93.0,93.0
2509,95.0,95.0
4121,97.0,97.0
162,75.0,75.0
1332,92.0,92.0
6175,96.0,96.0
274,84.0,84.0
4406,96.0,96.0
704,87.0,87.0
356,92.0,92.0
7829,73.0,73.0
6955,92.0,92.0
5151,100.0,100.0
1815,75.0,76.0
5079,100.0,100.0
548,68.0,69.0
3332,88.0,88.0
2640,91.0,90.0
7778,93.0,93.0
6439,97.0,97.0
394,92.0,92.0
2577,89.0,90.0
2676,100.0,100.0
1235,92.0,92.0
3018,67.0,67.0
5489,87.0,87.0
3233,92.0,92.0
487,77.0,77.0
6809,68.0,68.0
2131,96.0,96.0
4490,89.0,89.0
3656,75.0,75.0
3681,81.0,81.0
2526,96.0,96.0
914,72.0,72.0
4962,91.0,91.0
3281,83.0,83.0
72,54.0,54.0
4799,96.0,96.0
7109,91.0,91.0
6093,70.0,70.0
6670,91.0,91.0
1022,92.0,92.0
188,81.0,81.0
6807,80.0,80.0
5900,91.0,91.0
2150,99.0,99.0
1172,92.0,92.0
2308,95.0,95.0
2554,85.0,85.0
4979,98.0,98.0
4021,86.0,86.0
6828,73.0,73.0
1790,90.0,90.0
989,100.0,100.0
852,79.0,79.0
167,83.0,83.0
7138,98.0,98.0
1220,59.0,58.0
6988,98.0,98.0
5690,67.0,67.0
5292,96.0,96.0
7235,64.0,64.0
5831,67.0,67.0
2006,94.0,94.0
7193,93.0,93.0
3200,99.0,99.0
533,83.0,83.0
979,85.0,85.0
33,89.0,89.0
1143,93.0,93.0
7464,64.0,64.0
4168,88.0,88.0
6565,56.0,56.0
558,82.0,82.0
7910,78.0,78.0
3885,86.0,86.0
509,54.0,54.0
3081,57.0,57.0
2851,100.0,100.0
3119,73.0,73.0
2552,86.0,86.0
6631,91.0,91.0
5029,91.0,91.0
5013,92.0,92.0
5608,99.0,99.0
5890,100.0,100.0
6055,95.0,95.0
1889,86.0,86.0
6956,80.0,80.0
5271,78.0,78.0
4816,81.0,81.0
2700,98.0,98.0
7243,78.0,78.0
2828,96.0,96.0
4759,81.0,82.0
2909,86.0,86.0
2043,93.0,94.0
776,55.0,55.0
451,76.0,76.0
1121,97.0,97.0
7678,88.0,88.0
3671,67.0,67.0
3075,84.0,84.0
6065,92.0,92.0
4281,80.0,80.0
3706,79.0,79.0
5565,63.0,62.0
7079,91.0,91.0
578,86.0,86.0
6470,95.0,95.0
1515,89.0,89.0
2529,93.0,93.0
6561,67.0,66.0
3566,74.0,73.0
4761,78.0,78.0
6987,99.0,99.0
3335,76.0,76.0
3733,97.0,97.0
6524,96.0,96.0
5937,73.0,73.0
234,77.0,77.0
1748,84.0,84.0
574,79.0,79.0
3098,58.0,57.0
5949,68.0,68.0
713,92.0,93.0
1034,87.0,87.0
4156,72.0,72.0
2898,97.0,97.0
3595,80.0,80.0
4844,86.0,87.0
2065,97.0,97.0
2796,99.0,99.0
572,86.0,85.0
5860,97.0,96.0
1014,87.0,87.0
3188,100.0,100.0
2761,86.0,87.0
2260,91.0,91.0
6847,86.0,86.0
1132,97.0,97.0
50,89.0,89.0
3277,84.0,84.0
3473,92.0,92.0
978,85.0,85.0
3974,96.0,96.0
3010,54.0,54.0
5205,68.0,68.0
2078,97.0,97.0
2036,95.0,95.0
1029,90.0,90.0
156,85.0,85.0
1939,65.0,64.0
6087,72.0,72.0
6363,92.0,92.0
5164,100.0,100.0
7411,69.0,69.0
7234,77.0,77.0
593,85.0,85.0
5540,96.0,96.0
3132,100.0,100.0
5711,76.0,76.0
495,52.0,52.0
6724,95.0,95.0
1615,71.0,71.0
1453,92.0,92.0
3181,100.0,100.0
1571,95.0,95.0
4365,71.0,71.0
6897,87.0,87.0
2921,88.0,88.0
2890,86.0,86.0
541,53.0,53.0
4415,96.0,96.0
4637,78.0,78.0
7049,87.0,87.0
629,94.0,94.0
422,68.0,68.0
5794,81.0,81.0
2946,90.0,90.0
5843,96.0,96.0
125,91.0,91.0
152,79.0,79.0
6626,92.0,92.0
200,76.0,76.0
6338,83.0,84.0
1824,87.0,87.0
5847,98.0,98.0
7177,97.0,98.0
2570,94.0,94.0
2189,92.0,91.0
687,92.0,92.0
1283,88.0,88.0
6787,64.0,64.0
6375,89.0,89.0
2537,80.0,79.0
1995,92.0,92.0
7626,91.0,91.0
5714,75.0,75.0
6159,82.0,82.0
5248,83.0,82.0
1388,84.0,84.0
1433,89.0,89.0
2087,95.0,95.0
1122,94.0,94.0
1352,79.0,79.0
2465,90.0,90.0
5780,81.0,81.0
4857,81.0,82.0
3440,92.0,92.0
3487,93.0,93.0
295,71.0,71.0
2385,88.0,88.0
1595,73.0,73.0
1705,90.0,90.0
3311,86.0,86.0
4465,95.0,95.0
4418,96.0,97.0
7362,95.0,95.0
7065,80.0,80.0
6595,97.0,97.0
2877,86.0,86.0
7484,68.0,68.0
6032,92.0,92.0
2265,95.0,95.0
4106,98.0,98.0
980,93.0,93.0
2615,96.0,96.0
3414,89.0,89.0
499,60.0,59.0
7323,83.0,83.0
6584,76.0,76.0
3515,90.0,90.0
7328,91.0,91.0
6329,86.0,86.0
2407,86.0,86.0
5682,81.0,81.0
6757,75.0,74.0
528,91.0,91.0
5866,94.0,94.0
6887,95.0,95.0
4024,88.0,88.0
326,95.0,95.0
3617,80.0,80.0
6526,96.0,97.0
5468,80.0,80.0
5426,90.0,90.0
1255,89.0,89.0
5777,80.0,80.0
2401,86.0,86.0
5010,91.0,91.0
6643,79.0,79.0
7266,72.0,72.0
1977,98.0,98.0
1363,80.0,80.0
6192,97.0,97.0
5525,93.0,93.0
5056,87.0,87.0
3305,88.0,88.0
4164,85.0,84.0
5559,95.0,95.0
3304,96.0,96.0
1060,87.0,87.0
3614,77.0,77.0
521,76.0,76.0
7808,89.0,89.0
1270,92.0,92.0
4328,97.0,97.0
3981,97.0,97.0
5776,82.0,82.0
2033,85.0,85.0
5844,95.0,95.0
2653,96.0,96.0
6125,85.0,85.0
5872,95.0,95.0
1529,70.0,69.0
98,78.0,78.0
4140,87.0,87.0
6836,81.0,81.0
3498,92.0,92.0
154,72.0,72.0
1870,88.0,88.0
722,88.0,88.0
226,82.0,82.0
2990,96.0,96.0
2943,88.0,88.0
